id,location,sitename,sitenumber,lat,long,habitat,date,time,family,species,weight,tl,sl,sex,w_liv,w_gon,ae1,ae2,key,n,c,p
MOO18F031,Moorea,OpunohuPass,S3,-17.48483,-149.86743,Slope,20/03/2018,10:00-11:30,Labridae,Chlorurus spilurus,137.9,17.5,16.2,NA,NA,NA,0,1,AE2,11.6110358566,19.8688844622,0.2922160262
MOO18F032,Moorea,OpunohuEntrance,S4,-17.48959,-149.86676,Lagoon,20/03/2018,10:00-11:30,Acanthuridae,Ctenochaetus striatus,201.5,23.2,17.5,NA,NA,NA,0,1,AE2,1.7886131387,20.3959610706,0.230436321
MOO18F036,Moorea,OpunohuEntrance,S4,-17.48959,-149.86676,Lagoon,20/03/2018,12:00-12:40,Zanclidae,Zanclus cornutus,99.7,16,12.5,NA,NA,NA,0,1,AE2,15.7730837004,26.974845815,0.6258928985
MOO18F037,Moorea,OpunohuEntrance,S4,-17.48959,-149.86676,Lagoon,20/03/2018,12:00-12:40,Acanthuridae,Zebrasoma scopas,142.3,18.5,16,NA,NA,NA,0,1,AE2,1.8515027322,22.9770491803,0.2735849928
MOO18F038,Moorea,OpunohuEntrance,S4,-17.48959,-149.86676,Lagoon,20/03/2018,12:00-12:40,Acanthuridae,Zebrasoma scopas,115.9,16.5,15,NA,NA,NA,0,1,AE2,4.6089944134,25.3918994413,0.376299579
MOO18F040,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Serranidae,Epinephelus merra,89.8,19.3,16,NA,NA,NA,0,1,AE2,1.928021978,26.6461538462,1.3653975151
MOO18F042,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Acanthuridae,Acanthurus nigricans,176,17.5,14.5,NA,NA,NA,0,1,AE2,2.1954248366,25.4967320261,0.3122486253
MOO18F043,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Chaetodontidae,Chaetodon ornatissimus,54.8,12.3,11.2,NA,NA,NA,0,1,AE2,2.527632613,23.84459725,0.2996961965
MOO18F044,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Chaetodontidae,Chaetodon ornatissimus,47.2,11.5,9.2,NA,NA,NA,0,1,AE2,2.2512471655,24.6666666667,0.4074668722
MOO18F045,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Balistidae,Melichthys vidua,320.8,23.5,18.9,F,NA,NA,0,1,AE2,9.3942081448,21.6804977376,0.1875703987
MOO18F046,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Acanthuridae,Acanthurus nigricans,153.8,17.6,14.9,NA,NA,NA,0,1,AE2,3.8084463895,27.115404814,0.2830942896
MOO18F049,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Zanclidae,Zanclus cornutus,101.2,15,12.1,F,NA,NA,0,1,AE2,2.9811491935,22.8048387097,0.5391902928
MOO18F051,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Labridae,Chlorurus spilurus,100.4,18,14,F,NA,NA,0,1,AE2,2.168776824,21.4678111588,0.4142426009
MOO18F052,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Acanthuridae,Zebrasoma scopas,94.6,16.8,13.8,NA,NA,NA,0,1,AE2,1.6204968944,20.9652173913,0.2258003273
MOO18F053,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Holocentridae,Neoniphon sammara,132.2,20,16.4,NA,NA,NA,0,1,AE2,1.2586419753,19.612345679,0.781437931
MOO18F054,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Labridae,Chlorurus spilurus,155.5,18.5,15,F,NA,NA,0,1,AE2,1.2735294118,19.2664961637,0.2087857193
MOO18F055,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Balistidae,Melichthys vidua,165,18,14.5,F,NA,NA,0,1,AE2,0.5365277778,17.9488888889,0.1310892723
MOO18F059,Moorea,OpunohuEntrance2,S5,-17.48959,-149.86676,Lagoon,21/03/2018,10:00-11:30,Holocentridae,Sargocentron caudimaculatum,130.5,19,13,NA,NA,NA,0,1,AE2,1.1501246883,16.4758104738,0.89761108
MOO18F060,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Labridae,Chlorurus spilurus,418.2,47.5,21,M,NA,NA,0,1,AE2,1.2133832976,19.9631691649,0.176180471
MOO18F061,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Balistidae,Melichthys niger,203.4,21,15,F,NA,NA,0,1,AE2,0.68883089770000006,18.7365344468,0.1195359916
MOO18F062,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Chaetodontidae,Chaetodon ornatissimus,83.1,13.8,12,F,NA,NA,0,1,AE2,2.5198734177,24.0962025316,0.7710318182
MOO18F064,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Chaetodontidae,Chaetodon ornatissimus,93,14.1,12,F,NA,NA,0,1,AE2,3.3522248244,27.6992974239,1.2737236844
MOO18F069,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Balistidae,Melichthys vidua,310,22.5,18,M,NA,NA,0,1,AE2,1.4487562189,21.6258706468,0.8907033711
MOO18F070,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Serranidae,Cephalopholis argus,154.2,21,18.3,NA,NA,NA,0,1,AE2,2.2358974359,21.0551282051,7.4235731593
MOO18F071,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Serranidae,Cephalopholis argus,192.7,24.9,19.5,NA,NA,NA,0,1,AE2,1.4575555556,21.4737777778,2.0155820298
MOO18F072,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Zanclidae,Zanclus cornutus,127,17,14,NA,NA,NA,0,1,AE2,2.999182243,38.1859813084,0.49896432
MOO18F074,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Zanclidae,Zanclus cornutus,76.4,14.6,12.5,NA,NA,NA,0,1,AE2,4.3974842767,29.3572327044,0.5488559149
MOO18F077,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Chaetodontidae,Chaetodon reticulatus,53.5,11.8,9.2,NA,NA,NA,0,1,AE2,4.1747276688,33.0814814815,0.952187386
MOO18F078,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Cirrhitidae,Paracirrhites hemistictus,151.6,20,16.3,NA,NA,NA,0,1,AE2,2.5047425474,15.4785907859,12.6063691028
MOO18F080,Moorea,Manava,S6,-17.47294,-149.80658,Slope,22/03/2018,10:40-11:50,Cirrhitidae,Paracirrhites hemistictus,93.7,16.2,14.1,NA,NA,NA,0,1,AE2,3.2892971246,25.6178913738,6.9878788505
MOO18F082,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:20-12:00,Chaetodontidae,Chaetodon auriga,130.5,19,15,NA,NA,NA,1,1,AE2,3.3326142132,31.0172588832,1.0251413013
MOO18F083,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Cirrhitidae,Paracirrhites hemistictus,174.6,21,18,NA,NA,NA,1,0,AE1,10.4021108179,41.8794722955,2.6210347243
MOO18F084,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Zanclidae,Zanclus cornutus,98.1,17,12.5,F,NA,NA,1,1,AE1,3.9625,27.3367708333,0.1955476731
MOO18F084,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Zanclidae,Zanclus cornutus,98.1,17,12.5,F,NA,NA,1,1,AE2,5.5849350649,33.5864935065,0.8938430918
MOO18F085,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Balistidae,Melichthys niger,204.1,22.4,19.2,NA,NA,NA,1,1,AE1,1.8458947368,23.3099578947,0.3643836207
MOO18F085,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Balistidae,Melichthys niger,204.1,22.4,19.2,NA,NA,NA,1,1,AE2,0.5133823529,17.3776470588,0.0719358915
MOO18F087,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Cirrhitidae,Paracirrhites hemistictus,142.3,20.2,17,NA,NA,NA,1,0,AE1,10.9722751323,40.482989418,3.210241566
MOO18F089,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Balistidae,Melichthys vidua,160,18,15,NA,NA,NA,1,1,AE1,3.7219512195,32.179695122,1.4665603931
MOO18F091,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Holocentridae,Sargocentron tiere,163.2,22.1,18.3,F,NA,NA,1,1,AE1,9.5540838852,46.3216997792,2.7332235812
MOO18F091,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Holocentridae,Sargocentron tiere,163.2,22.1,18.3,F,NA,NA,1,1,AE2,2.3503125,18.74475,4.9094751366
MOO18F092,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Chaetodontidae,Chaetodon vagabundus,63.7,14,11.5,F,NA,NA,1,0,AE1,9.0599141631,45.6366309013,0.95554186780000006
MOO18F096,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Acanthuridae,Naso lituratus,292,32.3,18.9,NA,NA,NA,1,1,AE1,4.0587124464,39.4606866953,0.4374625922
MOO18F096,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Acanthuridae,Naso lituratus,292,32.3,18.9,NA,NA,NA,1,1,AE2,4.6126569038,33.3332147937,0.3862548216
MOO18F099,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Labridae,Chlorurus spilurus,250.9,23.7,18.9,NA,NA,NA,1,1,AE1,1.1642411642,19.6980873181,0.203219305
MOO18F099,Moorea,Haapiti,S7,-17.5645,-149.887648,Slope,23/03/2018,10:10-12:00,Labridae,Chlorurus spilurus,250.9,23.7,18.9,NA,NA,NA,1,1,AE2,1.3319472617,19.1456389452,0.2268735747
MOO18F103,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Balistidae,Balistapus undulatus,258.5,22,18,NA,NA,NA,1,1,AE1,0.9346236559,26.0327688172,0.2822125561
MOO18F104,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Aulostomidae,Aulostomus chinensis,122.3,42.5,40.3,F,NA,NA,1,0,AE1,10.7044897959,41.4899234694,3.2210694484
MOO18F107,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Labridae,Epibulus insidiator,88.7,17,13.7,F,NA,NA,1,1,AE1,7.7588269795,35.5769794721,3.6800914286
MOO18F107,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Labridae,Epibulus insidiator,88.7,17,13.7,F,NA,NA,1,1,AE2,6.4965311005,35.3100478469,2.5127146179
MOO18F110,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Mullidae,Parupeneus multifasciatus,68.7,17.1,12.8,NA,NA,NA,1,1,AE1,2.779245283,29.2860141509,1.2929025493
MOO18F110,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Mullidae,Parupeneus multifasciatus,68.7,17.1,12.8,NA,NA,NA,1,1,AE2,2.7772522523,28.8216216216,1.1282390772
MOO18F112,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Chaetodontidae,Chaetodon vagabundus,81.6,15,12.4,NA,NA,NA,1,1,AE1,6.6128571429,45.1120833333,0.6931007254
MOO18F112,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Chaetodontidae,Chaetodon vagabundus,81.6,15,12.4,NA,NA,NA,1,1,AE2,5.8601428571,39.32,1.016840375
MOO18F114,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Balistidae,Melichthys vidua,301.9,22.2,18.6,NA,NA,NA,1,1,AE1,0.7560640732,19.6554004577,0.151402709
MOO18F114,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Balistidae,Melichthys vidua,301.9,22.2,18.6,NA,NA,NA,1,1,AE2,1.4123505976,23.793625498,0.2315715525
MOO18F118,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Holocentridae,Neoniphon sammara,35.2,14.1,10.3,NA,NA,NA,0,1,AE2,1.1834862385,20.1086238532,0.2943871156
MOO18F121,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Holocentridae,Sargocentron caudimaculatum,87.5,17.1,12.9,F,NA,NA,0,1,AE2,2.0710893855,22.9482402235,0.7748081561
MOO18F122,Moorea,Maharepa,S8,-17.47809,-149.79784,Lagoon,24/03/2018,11:30-13:45,Holocentridae,Sargocentron caudimaculatum,57.8,15.4,11.2,F,NA,NA,0,1,AE2,0.8100308642,17.2555555556,0.6001766435
MOO18F123,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Acanthuridae,Naso lituratus,117.3,19.5,15.5,NA,NA,NA,0,1,AE2,2.1062849162,29.8277094972,0.2254818985
MOO18F126,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Mullidae,Parupeneus multifasciatus,177.4,22.7,18,F,NA,NA,1,0,AE1,5.8947826087,33.040326087,1.5813635821
MOO18F127,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Chaetodontidae,Chaetodon reticulatus,56.4,12.2,10.5,NA,NA,NA,1,1,AE2,3.7615384615,29.6856548857,0.7591954479
MOO18F128,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Balistidae,Balistapus undulatus,385.5,26.7,20.6,M,NA,NA,1,1,AE1,0.6016901408,16.3444131455,0.6319598858
MOO18F128,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Balistidae,Balistapus undulatus,385.5,26.7,20.6,M,NA,NA,1,1,AE2,1.0310638298,18.2995744681,0.1841912467
MOO18F129,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Serranidae,Cephalopholis urodeta,75.9,18.1,14.5,NA,NA,NA,1,1,AE1,8.2562436548,45.0456345178,3.9629135622
MOO18F129,Moorea,PetitVillage,S9,-17.49824,-149.92755,Slope,26/03/2018,10:00-10:45,Serranidae,Cephalopholis urodeta,75.9,18.1,14.5,NA,NA,NA,1,1,AE2,3.15,26.0560321101,4.4415380135
MOO18F132,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Halichoeres hortulanus,174.8,25.6,19.2,M,NA,NA,1,1,AE1,0.57875,15.69765625,0.1342573649
MOO18F132,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Halichoeres hortulanus,174.8,25.6,19.2,M,NA,NA,1,1,AE2,0.5362666667,15.3450666667,0.1406815945
MOO18F135,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Coris aygula,107.3,19.7,15.9,NA,NA,NA,1,1,AE1,12.2653481894,38.5735376045,0.8741500472
MOO18F135,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Coris aygula,107.3,19.7,15.9,NA,NA,NA,1,1,AE2,3.7567548228,32.3786679164,0.5296344399
MOO18F139,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Halichoeres trimaculatus,63.7,16.6,13.3,NA,NA,NA,1,1,AE1,1.6297931034,19.288091954,0.439475023
MOO18F140,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Halichoeres trimaculatus,132.2,14,12,NA,NA,NA,0,1,AE2,1.2026595745,19.2170212766,0.2576290218
MOO18F141,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Halichoeres hortulanus,57.8,16.4,13.3,NA,NA,NA,1,1,AE1,0.8036743215,16.2649269311,0.1421153256
MOO18F141,Moorea,Intercontinental,S10,-17.4867,-149.88986,Lagoon,26/03/2018,11:20-12:30,Labridae,Halichoeres hortulanus,57.8,16.4,13.3,NA,NA,NA,1,1,AE2,2.6620426829,24.263597561,0.1430641385
MOO18F143,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Mullidae,Parupeneus multifasciatus,370,29.8,23.5,M,NA,NA,1,0,AE1,14.2993975904,39.853271028,4.2127887898
MOO18F145,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Acanthuridae,Acanthurus triostegus,87.7,15,11,F,NA,NA,1,1,AE1,3.4986440678,30.6870338983,0.2113905534
MOO18F145,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Acanthuridae,Acanthurus triostegus,87.7,15,11,F,NA,NA,1,1,AE2,4.4413636364,33.3158181818,0.4685273177
MOO18F147,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Balistidae,Sufflamen bursa,45.7,12.5,9.7,NA,NA,NA,0,1,AE2,3.8244655582,28.1886698337,0.5714119642
MOO18F148,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Cirrhitidae,Paracirrhites hemistictus,175.9,20.7,17.2,M,NA,NA,1,0,AE1,8.9525233645,44.3004205607,2.0297252468
MOO18F150,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Holocentridae,Sargocentron tiere,328.2,27.5,19.2,NA,NA,NA,1,1,AE1,6.7062962963,33.9172943723,NA
MOO18F150,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Holocentridae,Sargocentron tiere,328.2,27.5,19.2,NA,NA,NA,1,1,AE2,3.6833333333,32.0264492754,2.164972998
MOO18F151,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Cirrhitidae,Paracirrhites hemistictus,146.2,19.5,16.7,NA,NA,NA,1,0,AE1,8.9478947368,45.5621381579,1.8163534126
MOO18F152,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Balistidae,Sufflamen bursa,36.6,11.8,9,NA,NA,NA,0,1,AE2,2.614368932,21.5638252427,0.3637655908
MOO18F154,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Labridae,Thalassoma quinquevittatum,7,7.4,6.4,NA,NA,NA,0,0,AE1,11.446746988,18.2210843373,0.2128321778
MOO18F158,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Acanthuridae,Naso lituratus,168.9,21,15.7,NA,NA,NA,1,1,AE1,3.1766990291,34.4014320388,0.2981091729
MOO18F158,Moorea,SecretPass,S11,-17.53385,-149.91769,Slope,27/03/2018,9:45-11:20,Acanthuridae,Naso lituratus,168.9,21,15.7,NA,NA,NA,1,1,AE2,1.6112676056,26.2004024145,0.2165198646
MOO18F171,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Holocentridae,Sargocentron caudimaculatum,74.8,16.5,14.6,NA,NA,NA,1,1,AE1,3.2441791045,30.7186567164,0.8475526608
MOO18F171,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Holocentridae,Sargocentron caudimaculatum,74.8,16.5,14.6,NA,NA,NA,1,1,AE2,0.9936046512,27.0162790698,0.5954097036
MOO18F177,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Labridae,Cheilinus chlorourus,77.1,16.6,12.5,NA,NA,NA,1,1,AE1,4.1680636605,28.0736074271,1.1617420266
MOO18F177,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Labridae,Cheilinus chlorourus,77.1,16.6,12.5,NA,NA,NA,1,1,AE2,0.951396648,17.6804469274,0.1350718972
MOO18F178,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Balistidae,Sufflamen bursa,113.8,17.4,13.4,M,NA,NA,1,0,AE1,2.3708656716,22.2988656716,0.5937004177
MOO18F180,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Pomacentridae,Abudefduf sexfasciatus,76.3,16.5,12.8,NA,NA,NA,0,1,AE2,5.2558441558,55.0772077922,0.7516134722
MOO18F182,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Lethrinidae,Monotaxis grandoculis,63.2,16.2,11.4,NA,NA,NA,1,0,AE1,1.0516853933,17.1066292135,0.2606362956
MOO18F184,Moorea,SailingSchool,S12,-17.49203,-149.85416,Lagoon,29/03/2018,10:00-11:40,Holocentridae,Neoniphon sammara,50.2,17,13.5,NA,NA,NA,0,1,AE2,3.5363344051,25.0431511254,2.5361881875
MOO18F187,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Acanthuridae,Acanthurus triostegus,66.5,14,11.9,NA,NA,NA,1,1,AE1,3.4693617021,36.5389893617,0.2897531136
MOO18F187,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Acanthuridae,Acanthurus triostegus,66.5,14,11.9,NA,NA,NA,1,1,AE2,4.1816964286,37.9673214286,0.3562838484
MOO18F188,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Aulostomidae,Aulostomus chinensis,197.1,49.9,44.7,F,NA,NA,1,0,AE1,16.85504,41.6072266667,3.6288568109
MOO18F189,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Acanthuridae,Acanthurus triostegus,73.9,16,12.5,NA,NA,NA,1,1,AE1,2.212987013,30.7622916667,0.160889703
MOO18F189,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Acanthuridae,Acanthurus triostegus,73.9,16,12.5,NA,NA,NA,1,1,AE2,5.3357827476,34.6493290735,0.2642405989
MOO18F191,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Chaetodontidae,Chaetodon vagabundus,95.3,15,12.4,NA,NA,NA,0,1,AE2,4.3596534653,29.9897524752,1.4761905953
MOO18F192,Moorea,TheHangover,S13,-17.54487,-149.90109,Lagoon,30/03/2018,10:45-12:40,Labridae,Cheilinus chlorourus,134,19.5,17.1,NA,NA,NA,1,1,AE1,0.9071746032,18.2065714286,0.1321734135
